day,attack_records,launched_reported,intercepted_reported,uav_events,missile_events,guided_bomb_events
2023-05-16 00:00:00+00:00,8,36.0,36.0,2,6,0
2023-05-17 00:00:00+00:00,5,34.0,33.0,2,3,0
2023-05-19 00:00:00+00:00,4,31.0,22.0,2,2,0
2023-05-20 00:00:00+00:00,5,27.0,27.0,3,2,0
2023-05-21 00:00:00+00:00,3,3.0,3.0,0,3,0
2023-05-22 00:00:00+00:00,6,38.0,26.0,1,5,0
2023-05-23 00:00:00+00:00,1,6.0,6.0,1,0,0
2023-05-25 00:00:00+00:00,6,86.0,71.0,2,4,0
2023-05-28 00:00:00+00:00,1,54.0,52.0,1,0,0
2023-05-29 00:00:00+00:00,5,118.0,107.0,3,2,0
2023-05-31 00:00:00+00:00,3,5.0,5.0,0,3,0
2023-06-01 00:00:00+00:00,3,31.0,31.0,1,2,0
2023-06-02 00:00:00+00:00,1,15.0,15.0,0,1,0
2023-06-04 00:00:00+00:00,2,11.0,7.0,1,1,0
2023-06-06 00:00:00+00:00,1,35.0,35.0,0,1,0
2023-06-07 00:00:00+00:00,2,2.0,2.0,0,2,0
2023-06-08 00:00:00+00:00,4,28.0,18.0,1,3,0
2023-06-09 00:00:00+00:00,3,55.0,34.0,1,2,0
2023-06-11 00:00:00+00:00,1,6.0,6.0,1,0,0
2023-06-13 00:00:00+00:00,2,18.0,11.0,1,1,0
2023-06-14 00:00:00+00:00,3,20.0,12.0,1,2,0
2023-06-15 00:00:00+00:00,7,30.0,27.0,2,5,0
2023-06-16 00:00:00+00:00,4,16.0,16.0,2,2,0
2023-06-17 00:00:00+00:00,3,12.0,12.0,1,2,0
2023-06-19 00:00:00+00:00,2,8.0,8.0,1,1,0
2023-06-20 00:00:00+00:00,3,45.0,42.0,3,0,0
2023-06-22 00:00:00+00:00,3,10.0,3.0,1,2,0
2023-06-23 00:00:00+00:00,2,14.0,14.0,1,1,0
2023-06-24 00:00:00+00:00,4,53.0,43.0,1,3,0
2023-06-26 00:00:00+00:00,3,15.0,13.0,2,1,0
2023-06-28 00:00:00+00:00,1,6.0,6.0,1,0,0
2023-06-30 00:00:00+00:00,2,17.0,10.0,1,1,0
2023-07-02 00:00:00+00:00,2,11.0,11.0,1,1,0
2023-07-03 00:00:00+00:00,1,17.0,13.0,1,0,0
2023-07-05 00:00:00+00:00,4,8.0,8.0,0,4,0
2023-07-06 00:00:00+00:00,1,10.0,7.0,0,1,0
2023-07-07 00:00:00+00:00,1,18.0,12.0,1,0,0
2023-07-08 00:00:00+00:00,1,5.0,5.0,1,0,0
2023-07-10 00:00:00+00:00,2,7.0,7.0,1,1,0
2023-07-11 00:00:00+00:00,2,29.0,27.0,1,1,0
2023-07-12 00:00:00+00:00,1,15.0,11.0,1,0,0
2023-07-13 00:00:00+00:00,6,47.0,45.0,4,2,0
2023-07-14 00:00:00+00:00,2,6.0,6.0,0,2,0
2023-07-15 00:00:00+00:00,1,6.0,4.0,1,0,0
2023-07-17 00:00:00+00:00,3,13.0,13.0,2,1,0
2023-07-18 00:00:00+00:00,3,43.0,38.0,2,1,0
2023-07-19 00:00:00+00:00,5,63.0,37.0,1,4,0
2023-07-20 00:00:00+00:00,5,38.0,18.0,1,4,0
2023-07-21 00:00:00+00:00,1,9.0,9.0,1,0,0
2023-07-22 00:00:00+00:00,1,5.0,5.0,1,0,0
2023-07-23 00:00:00+00:00,5,19.0,11.0,0,5,0
2023-07-24 00:00:00+00:00,1,3.0,3.0,1,0,0
2023-07-26 00:00:00+00:00,3,43.0,36.0,0,3,0
2023-07-27 00:00:00+00:00,2,10.0,8.0,1,1,0
2023-07-29 00:00:00+00:00,1,4.0,4.0,1,0,0
2023-07-30 00:00:00+00:00,1,4.0,4.0,1,0,0
